title,ingredient1,ingredient2,ingredient3,ingre_ratio1,ingre_ratio2,ingre_ratio3
블루레몬에이드밀키스주,소주,밀키스,블루레몬에이드,4,3,3
탄산봉봉주,소주,포도봉봉,탄산수,4,3,3
소망주,소주,망고링고,,3,7,
탄산이온주,소주,탄산,이온음료,4,2,4
레몬주,소주,레몬맛 탄산음료,,4,6,
밀키스주,소주,밀키스,,4,6,
태극주,소주,빨간과일식초,파란이온음료,1,1,1
모구모구주,소주,모구모구,,2,8,
밀키스주,소주,맥주,밀키스,1,1,1
에너자이저주,소주,파워에이드,핫식스,2,2,2
젤리주,소주,젤리,,1,1,
메로나주,소주,메로나,사이다,1,1,3
폴라포주,소주,폴라포,사이다,1,1,3
우정주,소주,맥주,,9,1,
초코에몽주,소주,초코에몽,,1,2,
홍초주,소주,홍초,사이다,1,0.5,1
미숫가루주,소주,미숫가루,,1,1,
스크류바주,소주,스크류바,사이다,1,1,3
고진감래주,소주,맥주,콜라,3,7,1
소맥사,소주,맥주,사이다,3,6,1
블루베리주,소주,블루베리에이드,,1,1,
수박주,소주,수박에이드,,1,1,
맥사토,맥주,사이다,토마토주스,1,1,1
과일청 하이볼,위스키,탄산수,,1,1,
퍼지네이블,피치트리,오렌지주스,,1,3,
소원주,소주,원두커피,,1,5,
링겔주,소주,매화수,,1,1,
크림막걸리,막걸리,설레임,,1,1,
탱크젤리주,소주,탄산수,봉봉,1,1,1
쌕쌕주,소주,오렌지쌕쌕,,3,7,
아소주,소주,아이스티,,4,6,
복숭아봉봉주,소주,복숭아봉봉,,6,4,
요거풋풋주,소주,요거풋풋,,4,6,
요구르트주,소주,요구르트,사이다,1,2,1
소토닉,소주,토닉워터,,1,1,
홍익인간주,소주,홍초,,1,8,
더티호,호가든,기네스,,1,1,
화요토닉,화요,토닉워터,레몬,1,1,1
기범주,소주,홍차,,1,1,
깔루아밀크,깔루아,우유,,1,3,
스크류키스 칵테일,소주,스크류바,사이다,1,1,1
복소사,소주,사이다,복분자,6,4,1
버블탱크,소주,사이다,탱크보이,1,1,1
무지개주,양주,숙취음료,이온음료,1,1,1
